figure_title,group_title,condition_label,metric,estimate,ci_low,ci_high
Aesthetic Evaluation - gpt,Beautiful,Human,mean_likert,6.33,6.22,6.43
Aesthetic Evaluation - gpt,Beautiful,AI,mean_likert,6.24,6.08,6.4
Aesthetic Evaluation - gpt,Beautiful,Human+AI,mean_likert,6.31,6.16,6.44
Aesthetic Evaluation - gpt,Fascinating,Human,mean_likert,5.8,5.75,5.86
Aesthetic Evaluation - gpt,Fascinating,AI,mean_likert,5.77,5.7,5.82
Aesthetic Evaluation - gpt,Fascinating,Human+AI,mean_likert,5.77,5.71,5.83
Aesthetic Evaluation - gpt,Interesting,Human,mean_likert,5.18,5.13,5.25
Aesthetic Evaluation - gpt,Interesting,AI,mean_likert,5.14,5.08,5.2
Aesthetic Evaluation - gpt,Interesting,Human+AI,mean_likert,5.14,5.09,5.2
Aesthetic Evaluation - gpt,Romantic,Human,mean_likert,1.73,1.64,1.83
Aesthetic Evaluation - gpt,Romantic,AI,mean_likert,1.89,1.79,1.99
Aesthetic Evaluation - gpt,Romantic,Human+AI,mean_likert,1.87,1.77,1.97
Aesthetic Evaluation - gpt,Boring,Human,mean_likert,1.01,1.0,1.02
Aesthetic Evaluation - gpt,Boring,AI,mean_likert,1.01,1.0,1.02
Aesthetic Evaluation - gpt,Boring,Human+AI,mean_likert,1.01,1.0,1.02
Aesthetic Evaluation - gpt,Engaging,Human,mean_likert,6.24,6.16,6.32
Aesthetic Evaluation - gpt,Engaging,AI,mean_likert,6.18,6.11,6.25
Aesthetic Evaluation - gpt,Engaging,Human+AI,mean_likert,6.29,6.21,6.37
Aesthetic Evaluation - gpt,Exciting,Human,mean_likert,3.84,3.67,4.01
Aesthetic Evaluation - gpt,Exciting,AI,mean_likert,3.42,3.26,3.58
Aesthetic Evaluation - gpt,Exciting,Human+AI,mean_likert,3.85,3.69,4.0
Aesthetic Evaluation - gpt,Amusing,Human,mean_likert,5.63,5.54,5.73
Aesthetic Evaluation - gpt,Amusing,AI,mean_likert,5.56,5.46,5.65
Aesthetic Evaluation - gpt,Amusing,Human+AI,mean_likert,5.54,5.44,5.64
Aesthetic Evaluation - gpt,Pleasant,Human,mean_likert,5.82,5.75,5.89
Aesthetic Evaluation - gpt,Pleasant,AI,mean_likert,5.83,5.76,5.9
Aesthetic Evaluation - gpt,Pleasant,Human+AI,mean_likert,5.88,5.8,5.96
