figure_title,group_title,condition_label,metric,estimate,ci_low,ci_high
Aesthetic Evaluation - gemini,Beautiful,Human,mean_likert,5.95,5.92,5.97
Aesthetic Evaluation - gemini,Beautiful,AI,mean_likert,5.02,4.97,5.06
Aesthetic Evaluation - gemini,Beautiful,Human+AI,mean_likert,5.5,5.45,5.56
Aesthetic Evaluation - gemini,Fascinating,Human,mean_likert,5.09,5.05,5.13
Aesthetic Evaluation - gemini,Fascinating,AI,mean_likert,4.44,4.38,4.51
Aesthetic Evaluation - gemini,Fascinating,Human+AI,mean_likert,4.99,4.93,5.05
Aesthetic Evaluation - gemini,Interesting,Human,mean_likert,6.01,5.99,6.03
Aesthetic Evaluation - gemini,Interesting,AI,mean_likert,5.67,5.62,5.73
Aesthetic Evaluation - gemini,Interesting,Human+AI,mean_likert,5.96,5.92,6.0
Aesthetic Evaluation - gemini,Romantic,Human,mean_likert,1.34,1.29,1.4
Aesthetic Evaluation - gemini,Romantic,AI,mean_likert,1.39,1.34,1.45
Aesthetic Evaluation - gemini,Romantic,Human+AI,mean_likert,1.38,1.32,1.44
Aesthetic Evaluation - gemini,Boring,Human,mean_likert,1.06,1.03,1.09
Aesthetic Evaluation - gemini,Boring,AI,mean_likert,2.0,1.96,2.05
Aesthetic Evaluation - gemini,Boring,Human+AI,mean_likert,1.59,1.53,1.64
Aesthetic Evaluation - gemini,Engaging,Human,mean_likert,6.01,5.99,6.04
Aesthetic Evaluation - gemini,Engaging,AI,mean_likert,5.33,5.26,5.41
Aesthetic Evaluation - gemini,Engaging,Human+AI,mean_likert,5.89,5.84,5.93
Aesthetic Evaluation - gemini,Exciting,Human,mean_likert,3.61,3.53,3.68
Aesthetic Evaluation - gemini,Exciting,AI,mean_likert,1.95,1.87,2.04
Aesthetic Evaluation - gemini,Exciting,Human+AI,mean_likert,3.13,3.04,3.21
Aesthetic Evaluation - gemini,Amusing,Human,mean_likert,5.9,5.83,5.98
Aesthetic Evaluation - gemini,Amusing,AI,mean_likert,5.44,5.35,5.54
Aesthetic Evaluation - gemini,Amusing,Human+AI,mean_likert,5.72,5.64,5.81
Aesthetic Evaluation - gemini,Pleasant,Human,mean_likert,6.08,6.04,6.12
Aesthetic Evaluation - gemini,Pleasant,AI,mean_likert,5.6,5.54,5.66
Aesthetic Evaluation - gemini,Pleasant,Human+AI,mean_likert,5.99,5.94,6.03
