figure_title,group_title,condition_label,metric,estimate,ci_low,ci_high
Aesthetic Evaluation - llama,Beautiful,Human,mean_likert,4.29,4.1,4.48
Aesthetic Evaluation - llama,Beautiful,AI,mean_likert,3.81,3.62,4.0
Aesthetic Evaluation - llama,Beautiful,Human+AI,mean_likert,4.51,4.33,4.68
Aesthetic Evaluation - llama,Fascinating,Human,mean_likert,4.43,4.24,4.63
Aesthetic Evaluation - llama,Fascinating,AI,mean_likert,3.72,3.52,3.92
Aesthetic Evaluation - llama,Fascinating,Human+AI,mean_likert,4.57,4.37,4.77
Aesthetic Evaluation - llama,Interesting,Human,mean_likert,4.9,4.73,5.08
Aesthetic Evaluation - llama,Interesting,AI,mean_likert,4.36,4.17,4.55
Aesthetic Evaluation - llama,Interesting,Human+AI,mean_likert,4.97,4.8,5.14
Aesthetic Evaluation - llama,Romantic,Human,mean_likert,1.9,1.76,2.04
Aesthetic Evaluation - llama,Romantic,AI,mean_likert,1.54,1.45,1.64
Aesthetic Evaluation - llama,Romantic,Human+AI,mean_likert,1.86,1.75,1.98
Aesthetic Evaluation - llama,Boring,Human,mean_likert,1.13,1.08,1.2
Aesthetic Evaluation - llama,Boring,AI,mean_likert,1.12,1.07,1.17
Aesthetic Evaluation - llama,Boring,Human+AI,mean_likert,1.13,1.08,1.19
Aesthetic Evaluation - llama,Engaging,Human,mean_likert,4.72,4.53,4.91
Aesthetic Evaluation - llama,Engaging,AI,mean_likert,4.11,3.91,4.31
Aesthetic Evaluation - llama,Engaging,Human+AI,mean_likert,4.89,4.71,5.07
Aesthetic Evaluation - llama,Exciting,Human,mean_likert,3.14,2.9,3.39
Aesthetic Evaluation - llama,Exciting,AI,mean_likert,2.69,2.45,2.92
Aesthetic Evaluation - llama,Exciting,Human+AI,mean_likert,3.36,3.12,3.61
Aesthetic Evaluation - llama,Amusing,Human,mean_likert,4.49,4.27,4.7
Aesthetic Evaluation - llama,Amusing,AI,mean_likert,3.88,3.66,4.11
Aesthetic Evaluation - llama,Amusing,Human+AI,mean_likert,4.54,4.32,4.76
Aesthetic Evaluation - llama,Pleasant,Human,mean_likert,4.67,4.48,4.86
Aesthetic Evaluation - llama,Pleasant,AI,mean_likert,4.0,3.79,4.21
Aesthetic Evaluation - llama,Pleasant,Human+AI,mean_likert,4.76,4.56,4.95
