figure_title,group_title,condition_label,metric,estimate,ci_low,ci_high
Aesthetic Evaluation - gemma,Beautiful,Human,mean_likert,4.8,4.75,4.84
Aesthetic Evaluation - gemma,Beautiful,AI,mean_likert,4.57,4.52,4.63
Aesthetic Evaluation - gemma,Beautiful,Human+AI,mean_likert,4.69,4.64,4.74
Aesthetic Evaluation - gemma,Fascinating,Human,mean_likert,3.93,3.89,3.98
Aesthetic Evaluation - gemma,Fascinating,AI,mean_likert,3.65,3.6,3.71
Aesthetic Evaluation - gemma,Fascinating,Human+AI,mean_likert,3.78,3.73,3.83
Aesthetic Evaluation - gemma,Interesting,Human,mean_likert,4.84,4.8,4.88
Aesthetic Evaluation - gemma,Interesting,AI,mean_likert,4.64,4.58,4.69
Aesthetic Evaluation - gemma,Interesting,Human+AI,mean_likert,4.75,4.7,4.8
Aesthetic Evaluation - gemma,Romantic,Human,mean_likert,2.64,2.59,2.7
Aesthetic Evaluation - gemma,Romantic,AI,mean_likert,2.42,2.36,2.48
Aesthetic Evaluation - gemma,Romantic,Human+AI,mean_likert,2.45,2.39,2.5
Aesthetic Evaluation - gemma,Boring,Human,mean_likert,1.46,1.41,1.52
Aesthetic Evaluation - gemma,Boring,AI,mean_likert,1.66,1.6,1.71
Aesthetic Evaluation - gemma,Boring,Human+AI,mean_likert,1.52,1.46,1.58
Aesthetic Evaluation - gemma,Engaging,Human,mean_likert,4.04,3.99,4.09
Aesthetic Evaluation - gemma,Engaging,AI,mean_likert,3.78,3.72,3.83
Aesthetic Evaluation - gemma,Engaging,Human+AI,mean_likert,3.98,3.93,4.04
Aesthetic Evaluation - gemma,Exciting,Human,mean_likert,2.24,2.19,2.29
Aesthetic Evaluation - gemma,Exciting,AI,mean_likert,2.14,2.09,2.19
Aesthetic Evaluation - gemma,Exciting,Human+AI,mean_likert,2.22,2.17,2.27
Aesthetic Evaluation - gemma,Amusing,Human,mean_likert,4.08,4.01,4.14
Aesthetic Evaluation - gemma,Amusing,AI,mean_likert,3.88,3.82,3.95
Aesthetic Evaluation - gemma,Amusing,Human+AI,mean_likert,4.1,4.03,4.18
Aesthetic Evaluation - gemma,Pleasant,Human,mean_likert,4.66,4.6,4.71
Aesthetic Evaluation - gemma,Pleasant,AI,mean_likert,4.51,4.46,4.57
Aesthetic Evaluation - gemma,Pleasant,Human+AI,mean_likert,4.48,4.42,4.53
